"","id","name","year_official","month_first_rating","year_first_rating","month_available","year_available"
"286",143693,"Glass Road",2013,10,2013,10,2013
"287",139976,"Cthulhu Wars",2015,3,2013,1,2015
"288",230253,"Star Realms: Frontiers",2018,8,2017,7,2018
"289",222509,"Lords of Hellas",2018,3,2017,12,2017
"290",193037,"Dead of Winter: The Long Night",2016,2,2016,7,2016
"291",227789,"Heaven & Ale",2017,5,2017,10,2017
"292",209685,"Century: Spice Road",2017,5,2016,3,2017
"293",257499,"Arkham Horror (Third Edition)",2018,8,2018,10,2018
"294",244271,"Dice Throne: Season Two – Battle Chest",2018,2,2018,11,2018
"295",54,"Tikal",1999,5,2001,5,2001
"296",172081,"Burgle Bros.",2015,3,2015,11,2015
"297",136888,"Bruges",2013,1,2013,4,2013
"298",163967,"Tiny Epic Galaxies",2015,9,2014,9,2015
"299",156546,"Monikers",2015,4,2014,7,2015
"300",311193,"Anno 1800",2020,6,2020,10,2020
"301",140934,"Arboretum",2015,2,2015,3,2015
"302",2653,"Survive: Escape from Atlantis!",1982,3,2002,5,2001
"303",129622,"Love Letter",2012,8,2012,10,2012
"304",172818,"Above and Below",2015,3,2015,10,2015
"305",146439,"BattleLore: Second Edition",2013,8,2013,12,2013
"306",234,"Hannibal: Rome vs. Carthage",1996,6,2001,5,2001
"307",40692,"Small World",2009,2,2009,3,2009
"308",227935,"Wonderland's War",2022,8,2019,2,2022
"309",45315,"Dungeon Lords",2009,7,2009,10,2009
"310",5,"Acquire",1964,5,2001,5,2001
"311",188866,"Awkward Guests",2016,2,2016,9,2016
"312",77130,"Sid Meier's Civilization: The Board Game",2010,8,2010,10,2010
"313",184921,"Bunny Kingdom",2017,6,2016,8,2017
"314",59959,"Letters from Whitechapel",2011,10,2009,3,2011
"315",25292,"Merchants & Marauders",2010,9,2006,10,2010
"316",176920,"Mission: Red Planet (Second Edition)",2015,8,2015,10,2015
"317",181304,"Mysterium",2015,7,2015,8,2015
"318",39856,"Dixit",2008,1,2009,2,2009
"319",219513,"Bärenpark",2017,2,2017,4,2017
"320",21241,"Neuroshima Hex! 3.0",2006,2,2006,3,2007
"321",172,"For Sale",1997,6,2001,5,2001
"322",298047,"Marvel United",2020,2,2020,7,2020
"323",101721,"Mage Wars Arena",2012,8,2011,8,2012
"324",234277,"Nusfjord",2017,8,2017,10,2017
"325",297030,"Tekhenu: Obelisk of the Sun",2020,1,2020,7,2020
"326",163745,"Star Wars: Armada",2015,8,2014,3,2015
"327",285192,"Destinies",2021,7,2019,5,2021
"328",41114,"The Resistance",2009,3,2009,7,2010
"329",50,"Lost Cities",1999,6,2001,5,2001
"330",70919,"Takenoko",2011,3,2011,12,2011
"331",37046,"Ghost Stories",2008,9,2008,10,2008
"332",119890,"Agricola: All Creatures Big and Small",2012,2,2012,5,2012
"333",304420,"Bonfire",2020,7,2020,9,2020
"334",111341,"The Great Zimbabwe",2012,11,2011,10,2012
"335",234487,"Altiplano",2017,9,2017,10,2017
"336",199042,"Harry Potter: Hogwarts Battle",2016,6,2016,8,2016
"337",192458,"51st State: Master Set",2016,4,2016,5,2016
"338",245655,"The King's Dilemma",2019,7,2019,8,2019
"339",251661,"Oathsworn: Into the Deepwood",2022,6,2019,6,2022
"340",316377,"7 Wonders (Second Edition)",2020,8,2020,9,2020
"341",270633,"Aeon's End: The New Age",2019,2,2019,8,2019
"342",291572,"Oath: Chronicles of Empire and Exile",2021,10,2019,1,2021
"343",8217,"San Juan",2004,2,2004,2,2004
"344",246192,"Gizmos",2018,4,2018,7,2018
"345",299659,"Clash of Cultures: Monumental Edition",2021,1,2020,8,2021
"346",63888,"Innovation",2010,12,2009,4,2010
"347",47,"Chinatown",1999,5,2001,5,2001
"348",339789,"Welcome to the Moon",2021,6,2021,10,2021
"349",25554,"Notre Dame",2007,11,2006,3,2007
"350",182134,"Evolution: Climate",2016,12,2015,8,2016
"351",90137,"Blood Bowl: Team Manager – The Card Game",2011,8,2011,8,2011
"352",39683,"At the Gates of Loyang",2009,9,2009,9,2009
"353",17392,"Here I Stand",2006,2,2006,3,2006
"354",250458,"Gùgōng",2018,4,2018,10,2018
"355",1,"Die Macher",1986,6,2001,5,2001
"356",24480,"The Pillars of the Earth",2006,9,2006,10,2006
"357",244711,"Newton",2018,2,2018,8,2018
"358",245934,"Carpe Diem",2018,8,2018,9,2018
"359",310100,"Nemesis: Lockdown",2022,5,2020,1,2022
"360",128271,"Ginkgopolis",2012,10,2012,10,2012
"361",319966,"The King Is Dead: Second Edition",2020,9,2020,10,2020
"362",33160,"Endeavor",2009,12,2007,8,2009
"363",155987,"Abyss",2014,5,2014,8,2014
"364",9217,"Saint Petersburg",2004,4,2004,4,2004
"365",297562,"Kemet: Blood and Sand",2021,1,2020,4,2021
"366",260428,"Pandemic: Fall of Rome",2018,9,2018,10,2018
"367",215311,"Downforce",2017,1,2017,7,2017
"368",31594,"In the Year of the Dragon",2007,9,2007,10,2007
"369",195539,"The Godfather: Corleone's Empire",2017,3,2016,6,2017
"370",40354,"Maria",2009,8,2009,10,2009
"371",144592,"Bruxelles 1893",2013,10,2013,10,2013
"372",70323,"King of Tokyo",2011,9,2010,4,2011
"373",265736,"Tiny Towns",2019,11,2018,3,2019
"374",269210,"Twice as Clever!",2019,1,2019,1,2019
"375",21348,"Ticket to Ride: Märklin",2006,3,2006,3,2006
"376",256226,"Azul: Stained Glass of Sintra",2018,7,2018,10,2018
"377",204305,"Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures",2016,10,2016,2,2017
"378",236191,"London (Second Edition)",2017,9,2017,10,2017
"379",166669,"San Juan (Second Edition)",2014,11,2014,12,2014
"380",71,"Civilization",1980,5,2001,5,2001
"381",154809,"Nippon",2015,5,2015,10,2015
"382",40765,"Clash of Cultures",2012,6,2009,10,2012
"383",186751,"Mythic Battles: Pantheon",2017,1,2016,10,2017
"384",194594,"Dice Forge",2017,3,2016,6,2017
"385",15987,"Arkham Horror",2005,6,2005,7,2005
"386",198773,"Codenames: Pictures",2016,4,2016,6,2016
"387",170771,"Sword & Sorcery",2017,10,2015,6,2017
"388",121,"Dune",1979,5,2001,5,2001
"389",161614,"Stockpile",2015,7,2014,6,2015
"390",54625,"Space Hulk (Third Edition)",2009,8,2009,8,2009
"391",36932,"Claustrophobia",2009,12,2009,12,2009
"392",243,"Advanced Squad Leader",1985,5,2001,5,2001
"393",372,"Schotten Totten",1999,6,2001,5,2001
"394",256680,"Return to Dark Tower",2022,8,2018,1,2022
"395",55670,"Macao",2009,10,2009,10,2009
"396",229220,"Santa Maria",2017,7,2017,10,2017
"397",124708,"Mice and Mystics",2012,6,2012,10,2012
"398",301880,"Raiders of Scythia",2020,2,2020,8,2020
"399",138161,"Firefly: The Game",2013,6,2013,8,2013
"400",318084,"Furnace",2020,8,2020,10,2020
"401",128671,"Spartacus: A Game of Blood and Treachery",2012,8,2012,8,2012
"402",251658,"Sprawlopolis",2018,5,2018,8,2018
"403",66188,"Fresco",2010,3,2010,4,2010
"404",63628,"The Manhattan Project",2012,8,2011,2,2012
"405",150145,"Skull King",2013,10,2013,12,2015
"406",246684,"Smartphone Inc.",2018,8,2018,10,2018
"407",318184,"Imperium: Classics",2021,3,2021,5,2021
"408",323612,"Bitoku",2021,11,2020,10,2021
"409",215341,"Thunderstone Quest",2018,12,2016,2,2018
"410",151347,"Millennium Blades",2016,4,2015,4,2016
"411",92415,"Skull",2011,2,2011,2,2011
"412",34219,"Biblios",2007,1,2008,1,2008
"413",100901,"Flash Point: Fire Rescue",2011,6,2011,10,2011
"414",291453,"SCOUT",2019,11,2019,4,2021
