"","ID","Name","Year","Rank","Average","Bayes.average","Users.rated"
"527",216600,"Fantastic Factories",2019,527,7.52,6.901,4289
"528",153938,"Camel Up",2014,528,7.04,6.901,24923
"529",15363,"Nexus Ops",2005,529,7.21,6.897,8684
"530",141572,"Paperback",2014,530,7.16,6.897,9999
"531",247367,"Air, Land, & Sea",2019,531,7.5,6.896,4331
"532",218603,"Photosynthesis",2017,532,7.06,6.896,20372
"533",339789,"Welcome to the Moon",2021,533,8.13,6.894,2130
"534",2346,"DVONN",2001,534,7.45,6.894,4755
"535",284435,"Nova Luna",2019,535,7.38,6.892,5562
"536",159508,"AquaSphere",2014,536,7.27,6.891,7001
"537",3685,"Hammer of the Scots",2002,537,7.55,6.89,4011
"538",28023,"Jamaica",2007,538,7.06,6.889,18060
"539",170561,"Valeria: Card Kingdoms",2016,539,7.45,6.888,4971
"540",220,"High Society",1995,540,7.12,6.884,11136
"541",503,"Through the Desert",1998,541,7.08,6.882,13345
"542",117959,"Las Vegas",2012,542,7.14,6.882,10276
"543",155703,"Evolution",2014,543,7.09,6.882,15235
"544",172308,"Broom Service",2015,544,7.18,6.881,9208
"545",4390,"Carcassonne: Hunters and Gatherers",2002,545,7.13,6.881,12140
"546",39351,"Automobile",2009,546,7.33,6.88,5587
"547",9625,"Struggle of Empires",2004,547,7.53,6.88,4039
"548",160010,"Conan",2016,548,7.68,6.88,4317
"549",183562,"Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set",2015,549,7.77,6.877,3012
"550",39938,"Carson City",2009,550,7.24,6.877,6958
"551",42215,"Tobago",2009,551,7.11,6.876,11443
"552",245961,"Fleet: The Dice Game",2018,552,7.72,6.875,2940
"553",205359,"Star Wars: Destiny",2016,553,7.48,6.874,5086
"554",140603,"Francis Drake",2013,554,7.4,6.873,4885
"555",6472,"A Game of Thrones",2003,555,7.19,6.872,10379
"556",270673,"Silver & Gold",2019,556,7.28,6.872,6225
"557",248490,"Atlantis Rising (Second Edition)",2019,557,7.69,6.871,3184
"558",212445,"Blood Bowl (2016 Edition)",2016,558,8.01,6.871,2511
"559",216734,"Dice Throne: Season One",2018,559,7.57,6.87,4865
"560",303057,"Pan Am",2020,560,7.58,6.87,3740
"561",42776,"Gears of War: The Board Game",2011,561,7.47,6.868,4900
"562",265402,"In the Hall of the Mountain King",2019,562,7.7,6.867,3327
"563",169255,"A Game of Thrones: The Card Game (Second Edition)",2015,563,7.53,6.866,4596
"564",130960,"Triumph & Tragedy: European Balance of Power 1936-1945",2015,564,8.16,6.861,2043
"565",131357,"Coup",2012,565,6.99,6.861,40944
"566",113924,"Zombicide",2012,566,7.12,6.861,17797
"567",143519,"Quantum",2013,567,7.26,6.861,7084
"568",257501,"KeyForge: Call of the Archons",2018,568,7.18,6.859,10609
"569",264055,"Draftosaurus",2019,569,7.14,6.857,9671
"570",174785,"Mare Nostrum: Empires",2016,570,7.56,6.856,3828
"571",30869,"Thebes",2007,571,7.13,6.855,9520
"572",135219,"The Battle of Five Armies",2014,572,7.89,6.852,2571
"573",193949,"Star Trek: Ascendancy",2016,573,7.82,6.85,3037
"574",269511,"Cooper Island",2019,574,7.63,6.85,3223
"575",283393,"Aquatica",2019,575,7.43,6.848,4203
"576",343905,"Boonlake",2021,576,7.77,6.848,2701
"577",323612,"Bitoku",2021,577,7.99,6.847,2379
"578",119432,"Snowdonia",2012,578,7.35,6.846,4808
"579",1513,"The Republic of Rome",1990,579,7.54,6.844,4060
"580",206480,"Imperial Struggle",2020,580,8.32,6.843,1874
"581",224710,"Zombicide: Green Horde",2018,581,7.74,6.84,3614
"582",37904,"Formula D",2008,582,7.01,6.84,18409
"583",1353,"Time's Up!",1999,583,7.29,6.838,5454
"584",73171,"Earth Reborn",2010,584,7.63,6.838,3315
