"","rank","id","name","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"958",958,161882,"Irish Gauge",2738,1509,1229,232,473,2265,7.29903989043097,7.75861843605036,6.73475671277461,6.68163793103448,7.22765539112051,7.31394711699779,35
"959",959,72225,"CO₂",3809,1421,2388,771,691,3118,7.12261013389341,7.76545883180858,6.74007747068677,7.01242542153048,7.11105643994211,7.12517062219371,118
"960",960,157809,"Nations: The Dice Game",5336,2484,2852,654,879,4457,6.95740360944528,7.51959857487923,6.46774992987377,6.53131804281346,6.83892036405005,6.98077062149428,94
"961",961,141517,"A Study in Emerald",3274,1270,2004,318,628,2646,7.19180719609041,8.09034041732283,6.62237746007984,6.87506289308176,7.34041401273885,7.15653694633409,106
"962",962,298383,"Golem",1867,947,920,83,231,1636,7.67820234065346,8.2402186906019,7.0996920326087,6.72963855421687,7.34264792207792,7.72558196821516,11
"963",963,8203,"Hey, That's My Fish!",20518,12790,7728,2185,4413,16105,6.69454946680962,6.92177459186865,6.31848718038302,6.322152402746,6.83434035803308,6.65624476622167,202
"964",964,163154,"Falling Sky: The Gallic Revolt Against Caesar",1622,1072,550,164,317,1305,7.85461590628853,8.24094682835821,7.10162181818182,6.91207317073171,7.67652050473186,7.89787739463601,75
"965",965,104363,"Rex: Final Days of an Empire",4367,2043,2324,652,717,3650,7.07055577055187,7.69498766030348,6.52162532702238,6.74763803680982,7.00835425383542,7.08277453424657,126
"966",966,294612,"Unlock!: Epic Adventures",1604,706,898,493,180,1424,7.79099680798005,7.95488195467422,7.66215169265033,7.81541356997971,7.61933333333333,7.81269584269663,32
"967",967,177524,"ICECOOL",9864,6145,3719,665,1253,8611,6.80356550587997,7.10465942229455,6.30606023124496,6.33784461654135,6.83699255387071,6.79870148414818,74
